Comunidades y Ciudades Autónomas;Tamaño de los municipios;Periodo;Total
01 Andalucía;Total;2019;8.414.240
02 Aragón;Total;2019;1.319.291
03 Asturias, Principado de;Total;2019;1.022.800
04 Balears, Illes;Total;2019;1.149.460
05 Canarias;Total;2019;2.153.389
06 Cantabria;Total;2019;581.078
07 Castilla y León;Total;2019;2.399.548
08 Castilla - La Mancha;Total;2019;2.032.863
09 Cataluña;Total;2019;7.675.217
10 Comunitat Valenciana;Total;2019;5.003.769
11 Extremadura;Total;2019;1.067.710
12 Galicia;Total;2019;2.699.499
13 Madrid, Comunidad de;Total;2019;6.663.394
14 Murcia, Región de;Total;2019;1.493.898
15 Navarra, Comunidad Foral de;Total;2019;654.214
16 País Vasco;Total;2019;2.207.776
17 Rioja, La;Total;2019;316.798
18 Ceuta;Total;2019;84.777
19 Melilla;Total;2019;86.487
